model,n_samples,train_time_s,accuracy,infer_ms
Random Forest,500,0.44603,0.93,40.6178
Gradient Boosting,500,0.30741,0.91,1.0398
Logistic Regression,500,0.00412,0.87,0.786
SGD Classifier,500,0.00277,0.79,0.7244
MLP,500,0.29407,0.91,1.0924
Linear SVM,500,0.00234,0.87,0.694
Random Forest,1000,0.48771,0.915,89.3554
Gradient Boosting,1000,0.51751,0.915,1.1538
Logistic Regression,1000,0.00417,0.83,0.737
SGD Classifier,1000,0.00378,0.75,0.7377
MLP,1000,0.50694,0.92,1.2737
Linear SVM,1000,0.00285,0.845,0.8121
Random Forest,2000,0.73578,0.9425,37.4973
Gradient Boosting,2000,0.98139,0.8975,1.5294
Logistic Regression,2000,0.00405,0.82,0.8055
SGD Classifier,2000,0.0084,0.7925,1.1074
MLP,2000,0.69991,0.9575,1.0148
Linear SVM,2000,0.00364,0.8225,0.8588
Random Forest,5000,1.35438,0.938,90.372
Gradient Boosting,5000,2.60458,0.916,2.5815
Logistic Regression,5000,0.00761,0.832,0.8931
SGD Classifier,5000,0.01434,0.819,0.9649
MLP,5000,1.72369,0.975,2.3818
Linear SVM,5000,0.00669,0.829,0.8594
Random Forest,10000,2.73292,0.9435,99.3931
Gradient Boosting,10000,5.53189,0.912,4.7987
Logistic Regression,10000,0.02986,0.816,1.308
SGD Classifier,10000,0.09936,0.8125,1.3874
MLP,10000,3.7501,0.972,3.0234
Linear SVM,10000,0.04237,0.816,1.2597
Random Forest,20000,5.69479,0.9715,94.2574
Gradient Boosting,20000,11.31504,0.9287,7.7434
Logistic Regression,20000,0.02066,0.8715,1.3724
SGD Classifier,20000,0.15114,0.8642,1.5376
MLP,20000,6.59482,0.9812,4.4762
Linear SVM,20000,0.04199,0.8718,47.0077
Random Forest,50000,16.993,0.969,201.6815
Gradient Boosting,50000,30.68836,0.925,16.9124
Logistic Regression,50000,0.78833,0.8515,9.872
SGD Classifier,50000,0.31806,0.8456,2.5023
MLP,50000,21.96912,0.9851,12.3062
Linear SVM,50000,0.21002,0.8511,2.7385
